k,inertia,sil,seed
20,16636.148176462386,0.16891851555342535,808
21,16258.268050637675,0.1713204536810624,808
22,15976.841070480468,0.17302237485890545,808
23,15740.679953226518,0.17159754574802819,808
24,15469.42286823907,0.1749242181031239,808
25,15267.362302677979,0.17416889991751078,808
26,14996.410725746193,0.17626382416676362,808
27,14705.795660506483,0.1783996307164309,808
28,14504.96455189238,0.17605281618907737,808
29,14328.165821240864,0.1754410936570251,808
30,14159.692307367066,0.17502681560511668,808
31,13936.845676465677,0.17162524107190624,808
32,13801.90403702484,0.174350918956043,808
33,13612.815875420707,0.1751159992741803,808
34,13443.475047629427,0.1703487183156283,808
35,13296.485131554837,0.17147050372897815,808
36,13124.066153951277,0.17035868094966242,808
37,13046.550267360988,0.164000779389026,808
38,12848.477451454704,0.16643894817637417,808
39,12730.034769522952,0.16208363169024953,808
40,12590.896148707277,0.17193102078582567,808
41,12455.708038520886,0.1628927297539649,808
42,12377.41911909067,0.16632258233660915,808
43,12257.642900526513,0.16319175053729756,808
44,12156.544670110337,0.16637563017163046,808
45,12059.981316330744,0.1569958626537037,808
46,11898.008099116609,0.1633108616627782,808
47,11829.716590401196,0.1651314336938002,808
48,11727.252872307638,0.1613849327337919,808
49,11623.304258587212,0.157893109075584,808
50,11552.897269356903,0.1576036549960722,808
51,11473.740242298452,0.1579693783458647,808
52,11376.333427288655,0.15880649980964773,808
53,11260.312486242046,0.1591852148549995,808
54,11211.68710427743,0.16354103615474666,808
55,11122.11867502555,0.1554526379719378,808
56,11046.187775348299,0.15997992455182636,808
57,10965.866779564549,0.15127150880517806,808
58,10876.778239892965,0.15434354728235408,808
59,10801.736634134993,0.1519847707255713,808
60,10706.566630906009,0.15860043183111086,808
61,10649.386227003517,0.1598289722390686,808
62,10608.900952170512,0.15537783577895803,808
63,10549.015806400786,0.15763816586418616,808
64,10450.91700135163,0.15538401334433388,808
65,10419.476546025558,0.15117314429823925,808
66,10367.573299535965,0.1546584508941594,808
67,10271.136587566922,0.15959137021668773,808
68,10245.522220034929,0.15345963465308424,808
69,10135.060403534286,0.15376062817926198,808
70,10080.750798280167,0.15191020792789095,808
71,10045.58286530149,0.1516985171001618,808
72,9987.612661884714,0.15520725378496936,808
73,9953.76547888075,0.15190738540131374,808
74,9872.569370461326,0.15082768247335843,808
75,9804.94927504985,0.15142368223636818,808
76,9777.800282696851,0.15402277875572462,808
77,9752.756482470859,0.14787637238798867,808
78,9647.7487705798,0.15521326397945964,808
79,9618.5319634869,0.15139901637408956,808
80,9588.168417163892,0.15202016097576845,808
81,9524.481939606427,0.15140418075650247,808
82,9466.62276820306,0.14779732864416628,808
83,9452.336338514971,0.14846340943980874,808
84,9396.957118877453,0.15245132149151308,808
85,9357.63813764363,0.15058913814501945,808
86,9306.511709633163,0.14782002047446924,808
87,9254.871451334302,0.14519667003678868,808
88,9222.347292808538,0.14800312656501213,808
89,9168.806782835883,0.1459821652863894,808
90,9118.706638557549,0.1522070322440258,808
91,9090.17022713881,0.14971887814740287,808
92,9077.367636181569,0.14485036337633958,808
93,8980.805130042305,0.14876504713988994,808
94,9006.17904373977,0.15187819411160236,808
95,8954.055484619343,0.14257984289652106,808
96,8892.72844256621,0.14738562571406466,808
97,8854.965467013795,0.14652772613412698,808
98,8828.731985069111,0.14755018672541892,808
99,8795.93892833973,0.14891005241715402,808
100,8742.565665140057,0.14945294229674763,808
20,16599.219773890018,0.176820460468045,5678
21,16271.400638903619,0.17367386866974446,5678
22,15994.319481343677,0.1755631984430406,5678
23,15723.800166956993,0.17353339285269043,5678
24,15428.076060452622,0.17314996088751408,5678
25,15148.190848355,0.17444736378816328,5678
26,14905.288866033152,0.17711973524121571,5678
27,14722.9354539781,0.17377837899699464,5678
28,14480.43325719697,0.17373340542408056,5678
29,14299.509987312389,0.17762918075541526,5678
30,14130.451569413512,0.1734488805832884,5678
31,13961.971483659823,0.1705916237443198,5678
32,13755.159337931389,0.1753882343333725,5678
33,13628.858224855221,0.1710752257815543,5678
34,13456.718219157388,0.17535171000928884,5678
35,13315.967924792947,0.17322516600882296,5678
36,13108.070846688219,0.17249747848381197,5678
37,12998.206826990156,0.17562176363198895,5678
38,12865.87557594957,0.1645691180071981,5678
39,12750.017153728304,0.17152474682282756,5678
40,12600.879580251913,0.17633168492702045,5678
41,12440.92101166895,0.16527022785058298,5678
42,12376.853602410403,0.16654054392076464,5678
