k,inertia,sil,seed
20,418.9002908034872,0.302794301541198,808
21,406.1288699809229,0.29528696923169023,808
22,396.2688790608996,0.2877461907515367,808
23,384.46527251030955,0.29045084996765297,808
24,377.48876945569816,0.2915257787283276,808
25,366.9806767275194,0.28541960239468345,808
26,360.0764022003942,0.27793204761910395,808
27,355.0160843075101,0.2724433896763455,808
28,348.1080275943835,0.2631799958704541,808
29,341.17369968643436,0.26587903523821393,808
30,337.03170351328436,0.2658095360224335,808
31,329.6415169883454,0.26869621376783465,808
32,324.14590244865974,0.2615102539048961,808
33,320.32944367229027,0.25922922693309686,808
34,314.881353233624,0.23940047153692504,808
35,310.7351772251616,0.23740530466922324,808
36,307.1429811760586,0.24733981373251043,808
37,301.8514073558215,0.23358015369130794,808
38,298.9461167508199,0.2334179863322187,808
39,294.5972996316417,0.23153787430388134,808
40,290.61836416651886,0.2287835931031555,808
41,285.4159307101222,0.2260748120960402,808
42,284.1190105216162,0.23669045543362727,808
43,280.03773311475794,0.2301067631445303,808
44,277.03592942937894,0.22387471302186307,808
45,273.8840133798566,0.22774522530929947,808
46,270.60510049919895,0.21968779891421278,808
47,266.50637368034603,0.21384214403454613,808
48,264.4306878232821,0.2198703035651552,808
49,261.21697651338735,0.21873717935802728,808
50,260.227340046389,0.2154376086444577,808
51,257.3317673133808,0.22218875244702677,808
52,253.21046541223106,0.21544586244894298,808
53,251.44961564940448,0.2124041852973491,808
54,248.9749318658939,0.21361225806807602,808
55,245.9662442550377,0.21666454843842822,808
56,245.17148244703375,0.22212755912934112,808
57,242.98985303439318,0.21726824492799968,808
58,240.56638649790682,0.20844048001275284,808
59,237.99560843912593,0.21628408204707358,808
60,236.64833225183938,0.21831185161288008,808
61,233.29543726572726,0.2201827697269752,808
62,231.18370207918707,0.2113739833300438,808
63,229.8573789272313,0.20812487334397434,808
64,227.64311950320447,0.2124051645062606,808
65,225.13601579416027,0.21213403785036983,808
66,224.6304182596793,0.2130920823234711,808
67,222.43396727317239,0.2121027020830068,808
68,220.93097384411172,0.2111896495464501,808
69,218.60422773449477,0.2076412472017976,808
70,217.08284646588672,0.2097041305249914,808
71,216.54289474702418,0.21384800316081243,808
72,213.51752539338858,0.20843683009228117,808
73,211.9808771790344,0.2062960141589621,808
74,210.6186090117203,0.20639176113744453,808
75,210.02868261790962,0.20393899678429037,808
76,208.84088773626559,0.20857289433519102,808
77,205.90187267431128,0.20487173959383845,808
78,205.1283324196697,0.20372275851677493,808
79,203.89495084548884,0.20252946156129176,808
80,203.32547586434097,0.20054020076505738,808
81,200.90780840782287,0.19931527564667662,808
82,200.09605633183855,0.207631844617185,808
83,199.064470783243,0.2071840740072011,808
84,197.96355746954208,0.20373709464721843,808
85,196.616881874355,0.2061814493335049,808
86,195.36343978823078,0.2125713205779157,808
87,194.03336595907294,0.20479783278317337,808
88,192.43902809998457,0.20239538068801294,808
89,191.4725036495048,0.20345535520424693,808
90,191.3168953688908,0.20298381094831003,808
91,189.17279058773258,0.2046002317970863,808
92,188.9345299237413,0.20489271175203244,808
93,186.77293521972584,0.2051739329452051,808
94,186.08438115035756,0.20023964927684013,808
95,184.59034767085805,0.20447834898606454,808
96,183.77524889085828,0.20549151495098925,808
97,183.25745291589507,0.20698033566350638,808
98,181.76284482428744,0.20245989317407576,808
99,180.6911292190084,0.20348800613978316,808
100,179.63787353443882,0.20764457472202594,808
20,418.6163554607498,0.30184974893655614,5678
21,406.4322112689548,0.30195208925113454,5678
22,396.0751273602879,0.29234484725175214,5678
23,385.1300647459984,0.2903073754043728,5678
24,375.7449901443642,0.2895817962870955,5678
25,367.200637291249,0.2808834668462915,5678
26,359.76706204566824,0.2789366986829088,5678
27,353.8577524241535,0.27979528992489644,5678
28,347.5164326856667,0.258733687772893,5678
29,341.863382972961,0.26212415560062213,5678
30,336.519442623514,0.2662345495587787,5678
31,330.9159261583249,0.2518081627983832,5678
32,325.6493570127068,0.2543116893674651,5678
33,320.6210578756706,0.24931739034647493,5678
34,316.2504123467187,0.2542384250042538,5678
35,311.5419012938325,0.2406669070220243,5678
36,306.673274603832,0.2491301389923159,5678
37,303.2316656682906,0.23633987930639982,5678
38,298.8985474640345,0.23134611854271137,5678
39,294.5768353223124,0.2306664063352952,5678
40,290.6338075559256,0.22954667266871862,5678
41,287.8393662653826,0.22548306963829656,5678
42,283.87677241540314,0.22403853205757324,5678
43,281.1567392837655,0.21975288419098582,5678
44,275.9364941476936,0.2302322520425059,5678
45,273.29997292140416,0.2164186281221545,5678
46,269.45460300837254,0.2184967460721565,5678
47,267.18697941646116,0.21937444804123665,5678
48,264.2216572900806,0.21937965774439366,5678
49,261.71125048486175,0.21807650298171208,5678
50,259.44188672165103,0.21799208998517314,5678
51,256.5572377014485,0.21484948645604185,5678
52,254.00133625755984,0.21872719533170573,5678
53,251.78093806315124,0.21771579363015792,5678
54,249.25640271030244,0.21836292998018147,5678
55,247.25882157120446,0.213103435172201,5678
56,245.00495986095598,0.21782474942105026,5678
57,241.81787332449088,0.21510757188800125,5678
58,240.1432629099777,0.21575928630060306,5678
59,238.61941474147153,0.21132438407698892,5678
60,235.43918291684386,0.21113501384659114,5678
61,233.1174090003584,0.21484086558251902,5678
62,231.78135764008988,0.20647473072635067,5678
63,228.4389331348226,0.2155403555530421,5678
64,228.3834300930738,0.21214545489533584,5678
65,224.25890488958947,0.21338236314279474,5678
66,225.36255914615379,0.2053104894361981,5678
67,223.03341718813942,0.20740686531469976,5678
68,220.17102749746147,0.20980248427924475,5678
69,219.68472516988942,0.21367001206846523,5678
70,217.59813747939958,0.2047670040806092,5678
71,216.03555162092695,0.2078357804776822,5678
72,214.319460074688,0.20966931276617887,5678
73,212.94737609454558,0.20319688650256046,5678
74,211.28408835928886,0.2064218618549757,5678
75,210.45717569650623,0.204477011793018,5678
76,208.6378012315301,0.2000008770312517,5678
77,207.14140072667237,0.2095942275695605,5678
78,205.2271259546096,0.20626046510222046,5678
79,203.48366727680576,0.2033537238500939,5678
80,202.72958937996322,0.20724103001419514,5678
81,199.83717751402182,0.2066005112040131,5678
82,199.36524854932892,0.20688499798172133,5678
83,199.1723050105902,0.20389629104581958,5678
84,196.64997331416782,0.2067010979351418,5678
85,195.85627032566285,0.20971062816854805,5678
86,194.44851120871985,0.20404196517189788,5678
